datetime,Global+AF8-active+AF8-power,Global+AF8-reactive+AF8-power,Voltage,Global+AF8-intensity,Sub+AF8-metering+AF8-1,Sub+AF8-metering+AF8-2,Sub+AF8-metering+AF8-3,sub+AF8-metering+AF8-4
2007+AC0-02+AC0-26,568.484,108.28,347433.97,2388.8,0,331,1660,6373.33336539998
2007+AC0-02+AC0-27,518.111999999997,113.204,349839.75,2195.40000000001,0,314,2830,6313.7333472
2007+AC0-02+AC0-28,520.774000000001,113.372,348709.809999999,2201.00000000001,0,340,1924,6397.20001329997
2007+AC0-03+AC0-01,517.564000000002,107.628,347502.82,2172.80000000001,0,316,1973,6366.5666832
2007+AC0-03+AC0-02,515.688000000001,107.008,346451.9,2169.80000000001,0,340,1980,6330.06668290001
2007+AC0-03+AC0-03,819.122000000001,134.992,347454.84,3457.60000000001,0,347,1969,6285.80000160001
2007+AC0-03+AC0-04,2090.7,175.682,345642.91,8867.79999999999,1476,8711,4597,8708.03333760001
2007+AC0-03+AC0-05,2660.332,205.956,345644.51,11290,5727,12109,9408,15249.9999962
2007+AC0-03+AC0-06,1246.5,186.148000000001,347022.82,5321.80000000001,0,1740,10026,16476.8666521
2007+AC0-03+AC0-07,2375.206,171.199999999999,346065.930000001,9986.4,1076,4761,4700,14335.0000087
2007+AC0-03+AC0-08,1572.132,187.404000000001,346558.21,6717.80000000004,2180,3385,15513,18236.7666856
2007+AC0-03+AC0-09,1272.612,119.238,346879.39,5373,1093,345,6655,13982.2000121
2007+AC0-03+AC0-10,2484.71200000001,243.528,345316.08,10572.4,4130,5422,8631,11141.1999992
2007+AC0-03+AC0-11,3480.636,173.374,345610.499999999,14575,4810,3420,10979,20880.8666573
2007+AC0-03+AC0-12,1950.668,134.422,346404.55,8248.99999999996,1403,2841,9500,40280.6000373
2007+AC0-03+AC0-13,1290.144,126.718,346893.07,5480.20000000001,1350,3859,12353,15914.1333691
2007+AC0-03+AC0-14,1793.364,157.522,346719.299999999,7585.2,3485,480,5323,10970.4000181
2007+AC0-03+AC0-15,1884.814,159.326,346003.91,7953.40000000001,0,3263,8607,17317.4000037
2007+AC0-03+AC0-16,1702.054,130.208,344919.07,7189,1106,4604,11036,17114.5666471
2007+AC0-03+AC0-17,2028.09,127.068,343043.5,8562.4,2208,359,5370,17287.5666883
2007+AC0-03+AC0-18,2371.046,241.45,347108.860000001,10091.4,6564,7369,12275,18959.5000559
2007+AC0-03+AC0-19,2152.518,144.764,346315.81,9046,1648,2686,5856,19728.4333323
2007+AC0-03+AC0-20,2086.228,164.87,346774.52,8857.79999999996,3745,2837,14118,17423.3000018
2007+AC0-03+AC0-21,2142.092,142.83,347020.77,8981.6,1865,4133,11255,16933.4667156
2007+AC0-03+AC0-22,1454.978,113.826,348139.48,6081.19999999998,353,736,12335,17368.5333157
2007+AC0-03+AC0-23,1309.008,119.488,347969.49,5477.40000000002,1127,777,10462,12698.6333514
2007+AC0-03+AC0-24,2968.43,191.024,345174.44,12532.8,3707,5797,8369,11543.7999759
2007+AC0-03+AC0-25,3338.404,236.124,345644.24,14000,4630,3600,16382,23587.8332956
2007+AC0-03+AC0-26,1416.082,160.966000000001,347525.009999999,6023.6,1088,344,9375,38035.0666648
2007+AC0-03+AC0-27,1105.14,151.726,346466.85,4747.00000000001,0,3019,9096,13073.3666561
2007+AC0-03+AC0-28,2333.898,196.518,346240.24,9870.59999999999,1122,8527,3697,11703.0000266
2007+AC0-03+AC0-29,1590.406,198.696,346372.83,6734.60000000002,1162,460,13888,15361.3000678
2007+AC0-03+AC0-30,1402.394,181.128,347096.49,6032.99999999999,1094,468,10724,14160.7666574
2007+AC0-03+AC0-31,3509.51,231.504,344535.51,14781.2,2620,7707,8217,13594.2332588
2007+AC0-04+AC0-01,2785.95200000001,202.552,345635.260000001,11735.2,4629,5401,17682,30482.833339
2007+AC0-04+AC0-02,1960.778,174.336,346262.57,8226.19999999999,1755,970,19509,16893.53333475
2007+AC0-04+AC0-03,1642.82,168.76,346327.14,6978.59999999999,3630,1042,16641,13313.6333598
2007+AC0-04+AC0-04,2051.868,172.318,346077.77,8620.19999999998,3434,420,7637,15071.3333527
2007+AC0-04+AC0-05,1844.078,244.538,347289.27,7907.8,1086,4277,14748,15595.7999757
2007+AC0-04+AC0-06,1601.14,143.214,347305.61,6751.6,0,5466,10523,14848.633342
2007+AC0-04+AC0-07,1553.924,138.73,346145.17,6572.99999999999,1127,3111,9166,12053.6666942
2007+AC0-04+AC0-08,1608.816,135.882,346102.82,6796.59999999999,0,485,5923,15737.7333509
2007+AC0-04+AC0-09,1000.92,160.11,346392.7,4283.4,2667,514,3545,22783.6000185
2007+AC0-04+AC0-10,777.364,148.94,346771.73,3380.19999999999,209,742,3801,9700.00002650001
2007+AC0-04+AC0-11,887.482000000002,192.446000000001,347262.95,3771.00000000001,0,1112,2572,9433.06668709999
2007+AC0-04+AC0-12,537.706000000001,147.812,345968.73,2301.00000000001,0,541,6421,7258.366658
2007+AC0-04+AC0-13,551.022000000001,151.64,345672.7,2366.4,0,558,1818,6602.76668770001
2007+AC0-04+AC0-14,554.268000000002,155.61,346050.930000001,2378,0,578,1988,6637.700028
2007+AC0-04+AC0-15,726.164,171.543999999999,345940.83,3148.6,0,1026,2008,6651.8000271
2007+AC0-04+AC0-16,952.39,186.074,346546.279999999,4136.4,952,1305,2893,8183.7333643
2007+AC0-04+AC0-17,1223.734,218.354,345881.76,5314.8,1532,389,4656,8960.16665070001
2007+AC0-04+AC0-18,998.246,165.224,345811.36,4313.39999999998,1579,355,6199,12275.5666373
2007+AC0-04+AC0-19,1028.658,149.66,346218.97,4400.39999999999,733,1605,3430,11273.43333499
2007+AC0-04+AC0-20,822.58,145.646,345791.37,3592.6,1069,360,5748,9058.29999906002
2007+AC0-04+AC0-21,1673.656,212.658,344467.06,7251.4,6575,463,3499,8781.6666808
2007+AC0-04+AC0-22,2233.714,267.194,345036.79,9631.40000000001,4264,2287,11129,9727.26665578002
2007+AC0-04+AC0-23,1054.566,135.64,341619.33,4700.4,1402,506,11102,19575.5667604
2007+AC0-04+AC0-24,1032.1,135.264,338896.69,4528.59999999999,1125,527,6005,9663.10000302001
2007+AC0-04+AC0-25,1264.162,164.736,338315.2,5555.60000000002,0,1469,6680,8869.66669864003
2007+AC0-04+AC0-26,1275.466,163.606,338093.71,5650.19999999999,1324,1845,8812,10788.3666657
2007+AC0-04+AC0-27,1094.332,161.928,338711.28,4770,1772,545,7163,10925.76666541
2007+AC0-04+AC0-28,1113.694,163.744,338660.24,4850.4,1772,563,4756,11165.866667
2007+AC0-04+AC0-29,1113.694,163.744,338660.24,4850.4,1772,563,4756,11470.5666682
2007+AC0-04+AC0-30,814.78,160.96,338452.48,3613.39999999998,1214,853,4756,11470.5666682
2007+AC0-05+AC0-01,1663.858,181.608,337937.329999999,7305.6,4005,995,3299,8213.6666678
2007+AC0-05+AC0-02,1003.486,160.092,339238.19,4523.79999999999,7,1490,8546,14184.9666822
2007+AC0-05+AC0-03,1090.238,150.942,338594.24,4763,1906,1725,3754,11473.76665321
2007+AC0-05+AC0-04,998.128000000003,174.74,339422.68,4432.39999999998,2259,538,7836,6703.63335770002
2007+AC0-05+AC0-05,1563.052,174.102,338450.43,6819.99999999999,2913,2493,3990,9848.46665448001
2007+AC0-05+AC0-06,2102.104,182.335999999999,337549.9,9228.99999999999,3215,949,11303,9341.86665900001
2007+AC0-05+AC0-07,1643.664,168.918,337733.24,7172.60000000001,946,4935,10095,20776.06666319
2007+AC0-05+AC0-08,1789.292,181.612,338264.980000001,7713.20000000003,4581,2011,9433,12080.4000218
2007+AC0-05+AC0-09,1665.736,183.484,338218.16,7280.8,3018,5631,8777,14452.53337655
2007+AC0-05+AC0-10,707.884,168.314,339546.61,3177.79999999999,946,534,9474,9639.2666535
2007+AC0-05+AC0-11,979.154,132.095999999999,338730.85,4359.8,926,491,3261,7057.0666877
2007+AC0-05+AC0-12,1441.566,209.172,338000.98,6279.20000000001,2247,1075,6471,8431.23333524
2007+AC0-05+AC0-13,1634.738,220.67,339420.54,7155.60000000001,3612,2414,10408,10296.0999722
2007+AC0-05+AC0-14,1467.782,298.552,339393.7,6586.8,3176,2417,8958,12261.6333204
2007+AC0-05+AC0-15,904.392,111.182,339281.27,3935.99999999996,0,408,5517,13353.0333498
2007+AC0-05+AC0-16,1692.944,135.894,338775.57,7303.39999999999,2213,5756,5318,9347.19999230001
2007+AC0-05+AC0-17,1231.816,131.188,339650.58,5358.19999999999,1014,2073,9077,11169.7332985
2007+AC0-05+AC0-18,1631.53,171.258,339832.219999999,7022.4,3270,3913,7687,9756.266692
2007+AC0-05+AC0-19,1429.442,167.858,338320.4,6219.80000000001,4683,530,8116,11893.1666652
2007+AC0-05+AC0-20,1968.328,187.532,338901.29,8555.80000000001,5420,1733,7022,11589.0333527
2007+AC0-05+AC0-21,1120.062,117.28,337956.35,4807.6,0,468,7611,18041.4666962
2007+AC0-05+AC0-22,1132.852,128.916,339092.03,4895.79999999999,931,3966,9060,9139.70002940001
2007+AC0-05+AC0-23,1464.936,165.878,338129.989999999,6332.40000000001,956,3792,3984,9999.8666513
2007+AC0-05+AC0-24,1154.388,135.56,339186.33,4985.4,955,4116,8119,11548.6000008
2007+AC0-05+AC0-25,1614.22,174.588,337603.97,7003.39999999999,8060,586,4746,9422.80006740002
2007+AC0-05+AC0-26,1512.248,174.24,338500.64,6570.39999999999,2373,2754,6539,11718.666634
2007+AC0-05+AC0-27,2153.808,219.894,338268.15,9369.40000000002,4366,5534,8628,11449.1333391
2007+AC0-05+AC0-28,1637.468,151.1,338265.47,7087.59999999999,4554,473,10444,15552.8000352
2007+AC0-05+AC0-29,1061.34,113.244,339399.86,4618.4,0,1907,9586,12678.1333175
2007+AC0-05+AC0-30,1609.866,147.058,338157.21,6952.99999999999,2250,5948,4332,11450.0000099
2007+AC0-05+AC0-31,938.550000000001,129.586,338539,4020.19999999999,935,477,7804,10829.1000237
2007+AC0-06+AC0-01,1046.09,143.516,338862.12,4517.39999999997,0,485,3552,10678.4999738
2007+AC0-06+AC0-02,1484.362,166.108,337635.4,6442.6,3971,1250,7664,9285.83335390002
2007+AC0-06+AC0-03,2108.026,182.458000000001,338057.820000001,9148.2,4985,7529,7633,11885.366648
2007+AC0-06+AC0-04,911.617999999999,223.191999999999,338037.22,4064,1585,836,8334,14285.7665906
2007+AC0-06+AC0-05,1458.892,255.692,337957.580000001,6429.80000000001,4484,1027,4533,8239.63332360001
2007+AC0-06+AC0-06,1693.942,231.132,337857.74,7352.79999999999,3329,829,6448,12355.8667044
2007+AC0-06+AC0-07,985.002000000001,172.334,337649.48,4294.59999999999,985,699,11663,12411.3666557
2007+AC0-06+AC0-08,2148.046,229.732000000001,340124.32,9285.4,2799,11440,3959,10773.6999959
2007+AC0-06+AC0-09,1137.136,232.936,346542.8,4891.59999999999,990,825,11380,10181.7666909
2007+AC0-06+AC0-10,1340.812,239.092,346815.77,5768.2,4202,1924,7254,9883.2667145
2007+AC0-06+AC0-11,794.653999999999,194.634,346833.719999999,3481.80000000003,0,487,5983,10237.86666903
2007+AC0-06+AC0-12,918.765999999999,216.416,345923.85,4116.39999999998,1882,475,5328,7429.23334039002
2007+AC0-06+AC0-13,927.272000000001,208.26,346172.55,4057.20000000002,957,857,3898,9057.76668346001
2007+AC0-06+AC0-14,1259.084,231.696,345380.81,5447.99999999999,3322,2147,5216,8424.53331998
2007+AC0-06+AC0-15,989.604,251.762,346268.71,4415.4,2269,4011,7054,8461.73333736001
2007+AC0-06+AC0-16,2017.762,307.557999999999,344882.44,8603.99999999999,3289,4498,4547,5666.39999398001
2007+AC0-06+AC0-17,1947.09,239.814,345915.619999999,8307.80000000002,4124,5038,11108,14734.36665943
2007+AC0-06+AC0-18,678.474000000002,180.810000000001,346717.73,2993.40000000001,0,529,8734,14555.499995534
2007+AC0-06+AC0-19,842.555999999999,187.986,345985.65,3683.20000000001,973,535,4241,6537.90000231998
2007+AC0-06+AC0-20,1074.286,227.302,345824.879999999,4761.80000000001,1761,2588,4357,8177.60000782999
2007+AC0-06+AC0-21,806.945999999999,222.546,346427.92,3601.19999999999,932,2400,5106,8449.76665283
2007+AC0-06+AC0-22,566.293999999999,208.526,346803.31,2602.59999999999,0,951,3711,6406.10001840001
2007+AC0-06+AC0-23,477.566000000001,193.12,346059.31,2211.39999999998,0,786,3482,5005.23336869997
2007+AC0-06+AC0-24,714.655999999997,179.362,347230.39,3179,0,791,2402,4771.43334940001
2007+AC0-06+AC0-25,1072.202,197.27,346208.06,4679.99999999998,1985,3621,3449,7670.93330720001
2007+AC0-06+AC0-26,944.907999999997,182.42,345736.09,4142.99999999999,971,1334,4816,7448.03331867001
2007+AC0-06+AC0-27,1480.826,206.997999999999,345252.110000001,6377.99999999997,2603,6451,5231,8212.46667161
2007+AC0-06+AC0-28,1295.438,217.446,344770.08,5601.00000000001,0,4368,7270,8356.43331921
2007+AC0-06+AC0-29,1305.634,206.526,345860.84,5679.40000000001,4363,668,9541,7681.63335341001
2007+AC0-06+AC0-30,1335.314,188.354,345616.72,5718.99999999999,3049,792,6815,9914.56662629001
2007+AC0-07+AC0-01,1026.664,172.448,345696.7,4436.19999999999,969,736,8376,10038.2333638
2007+AC0-07+AC0-02,967.031999999998,176.924,346567.41,4215.99999999998,1018,5281,4690,10716.0666732
2007+AC0-07+AC0-03,1059.912,180.338,345869.19,4652.20000000001,467,3214,3445,6373.19999784002
2007+AC0-07+AC0-04,1003.41,253.333999999999,346549.87,4457.39999999999,2329,2218,4695,9289.19997140001
2007+AC0-07+AC0-05,1057.29,246.716000000001,346240,4655.8,2922,770,5632,6544.49999729999
2007+AC0-07+AC0-06,1069.524,219.35,346463.21,4706.8,2826,3563,3973,9956.50000070002
2007+AC0-07+AC0-07,1358.206,214.044,345470.6,5810.19999999999,997,3047,4005,7431.40000147001
2007+AC0-07+AC0-08,1089.08,196.920000000001,346088.01,4736.59999999999,1825,2831,10177,8415.76667735998
2007+AC0-07+AC0-09,1180.158,172.422,346489.41,5063.39999999999,923,594,5277,8218.33331863
2007+AC0-07+AC0-10,908.323999999997,176.244,345575.6,4011.99999999999,67,2227,9386,8766.30001950001
2007+AC0-07+AC0-11,722.351999999995,153.856,347083.25,3167.19999999998,1015,647,4631,8213.73331269999
2007+AC0-07+AC0-12,1069.582,209.098,346701.05,4656.4,1029,2550,5284,5093.20000395998
2007+AC0-07+AC0-13,794.382000000002,206.694,346830.920000001,3529.19999999997,0,633,6419,7828.3666737
2007+AC0-07+AC0-14,1288.17,258.45,347460.31,5607.39999999999,3775,1968,4427,8179.6999823
2007+AC0-07+AC0-15,1041.71,258.098,346398.74,4596.6,973,934,6604,9122.49998799999
2007+AC0-07+AC0-16,853.674,233.96,340570.42,3831.2,830,695,5791,9663.83330709999
2007+AC0-07+AC0-17,719.632000000003,176.088,338027.41,3277.79999999999,848,694,4176,8526.90001820002
2007+AC0-07+AC0-18,757.082000000002,156.514000000001,332767.05,3437.00000000003,909,671,3335,7116.86668538001
2007+AC0-07+AC0-19,677.886000000001,187.012,337337.08,3087.19999999998,1068,703,4628,6410.03332010001
2007+AC0-07+AC0-20,1110.422,223.118,339219.22,4970.40000000001,2111,2418,3130,6397.09999959999
2007+AC0-07+AC0-21,1060.248,236.158,337329.54,4739.80000000001,428,512,4765,9213.03335019999
2007+AC0-07+AC0-22,1377.692,218.336000000001,339785.02,6090.19999999999,7091,2136,7756,8974.80002362001
2007+AC0-07+AC0-23,991.018,143.77,337681.25,4429.40000000001,1747,1288,5580,8154.5333591
2007+AC0-07+AC0-24,825.284000000001,112.81,338922.78,3673.4,0,1607,3847,9634.96665159998
2007+AC0-07+AC0-25,472.560000000004,108.234,339323.11,2130.19999999998,0,151,5599,6548.733340845
2007+AC0-07+AC0-26,924.500000000002,115.092,338318.959999999,4086.99999999999,975,3633,2333,5392.00001396002
2007+AC0-07+AC0-27,1202.514,120.456,339197.300000001,5217.6,1837,49,4346,6454.33333149999
2007+AC0-07+AC0-28,1621.862,178.73,339130.42,7115.99999999999,907,10265,7157,10998.90000756
2007+AC0-07+AC0-29,321.116000000001,118.576,339425.33,1488.2,0,0,6559,9300.03337184001
2007+AC0-07+AC0-30,466.815999999998,129.492,339163.53,2112.79999999999,0,0,1288,4063.9333203
2007+AC0-07+AC0-31,812.331999999999,145.786,338277.33,3603.59999999999,3277,0,2528,5252.26667534001
2007+AC0-08+AC0-01,1064.464,144.958,338375.4,4636.79999999995,1583,0,3575,6686.86667306501
2007+AC0-08+AC0-02,1019.416,144.953999999999,338193.49,4445.40000000002,482,0,9812,6346.06664673998
2007+AC0-08+AC0-03,1063.364,125.388,337659.27,4618.4,958,0,6869,9639.26665019999
2007+AC0-08+AC0-04,1144.99,139.226,338770.4,4971.39999999998,552,398,9139,7625.73331199999
2007+AC0-08+AC0-05,787.097999999996,151.254,338565.99,3509.00000000004,169,0,7966,10167.16668552
2007+AC0-08+AC0-06,1089.72,154.434,337971.950000001,4776.60000000002,1096,0,6647,6302.29999409998
2007+AC0-08+AC0-07,1483.58,131.182,337757.59,6373.39999999995,437,2168,7985,9080.99998530005
2007+AC0-08+AC0-08,1125.48199999999,119.096,337697.82,4868.00000000008,1055,1111,9042,13079.3333243
2007+AC0-08+AC0-09,1071.68,109.473999999999,337268.72,4712.19999999991,182,4515,9660,6932.03333654003
2007+AC0-08+AC0-10,1028.01,117.656,337663.89,4506.79999999999,336,2651,6646,6518.33331139996
2007+AC0-08+AC0-11,1091.65000000001,115.77,338371.460000001,4731.39999999996,1180,910,8287,5859.49999011601
2007+AC0-08+AC0-12,1241.904,127.776,339357.39,5389.60000000004,1123,1156,10339,5765.16663992999
2007+AC0-08+AC0-13,1153.012,130.94,338711.86,4966.19999999996,93,476,8582,9837.40000684
2007+AC0-08+AC0-14,941.190000000001,132.01,341390,4109.99999999997,951,685,11101,7546.86669290998
2007+AC0-08+AC0-15,1191.85999999999,159.764,345590.510000001,5100.59999999994,338,508,6256,7794.50001344001
2007+AC0-08+AC0-16,958.495999999993,131.532,345222.23,4095.20000000004,962,0,9787,9231.33333520001
2007+AC0-08+AC0-17,1009.89200000001,127.388,346311.43,4293.40000000001,244,0,7476,7536.93333020002
2007+AC0-08+AC0-18,347.96,119.24,347442.67,1553.6,0,0,7769,8818.53329589993
2007+AC0-08+AC0-19,1422.294,160.018,345533.28,6137.2,1025,8912,1830,3969.33331540001
2007+AC0-08+AC0-20,1338.842,155.88,347473,5707.20000000001,1032,6965,5989,7778.89997472
2007+AC0-08+AC0-21,642.556000000002,157.308,346425.200000001,2824.00000000001,0,38,7383,6934.03335471001
2007+AC0-08+AC0-22,1209.808,154.288,346776.94,5142.60000000003,3048,1836,3296,7375.2666688
2007+AC0-08+AC0-23,1112.312,157.954,346532.119999999,4795.59999999999,2502,259,7241,8038.46664467999
2007+AC0-08+AC0-24,1656.422,262.692,346313.34,7107.59999999999,1891,3782,5342,10435.5333337
2007+AC0-08+AC0-25,1150.88,272.548,345398.149999999,5117.40000000003,4149,2191,9944,11990.03333257
2007+AC0-08+AC0-26,1314.906,299.388,345529.32,5778.19999999999,1541,3645,5678,7163.33333221
2007+AC0-08+AC0-27,1211.73,299.084000000001,345489.96,5315.40000000005,2305,1229,5658,11071.0999957
2007+AC0-08+AC0-28,997.003999999999,181.114,344951.82,4314.39999999999,1038,2468,6344,10317.49998612
2007+AC0-08+AC0-29,747.992000000001,175.426,346672.79,3282.60000000002,957,562,5483,7627.73334570001
2007+AC0-08+AC0-30,1202.458,191.048,346425.370000001,5190.20000000002,3822,2580,4932,6015.53331426
2007+AC0-08+AC0-31,1279.822,187.256,345579.409999999,5455.40000000001,1200,666,4221,9417.96668439
2007+AC0-09+AC0-01,1701.486,289.846,344672.27,7294.19999999999,2497,569,8738,10726.36667914
2007+AC0-09+AC0-02,1662.468,231.598,345665.279999999,7224.8,3613,1617,9733,15559.1000179
2007+AC0-09+AC0-03,1038.922,188.422,345053.3,4508.19999999998,621,2515,8806,13671.79997562
2007+AC0-09+AC0-04,1584.944,179.626,345109.92,6848.59999999998,2928,3501,5323,8856.36668420002
2007+AC0-09+AC0-05,1236.572,148.864,344373.35,5324.6,0,4144,9821,10165.73331388
